imageName X Y Z Omega Phi Kappa
100_0154_0001.JPG 650428.423358 431642.265479 212.006223 0.758221 0.524553 170.898189
100_0154_0002.JPG 650428.027532 431636.876179 211.966924 0.530325 0.667141 173.178941
100_0154_0003.JPG 650426.206038 431622.763207 211.942556 0.400560 0.771499 173.388539
100_0154_0004.JPG 650423.392227 431600.557505 211.890037 0.250830 0.768953 173.065092
100_0154_0005.JPG 650420.964841 431576.561174 211.869020 0.106981 0.809133 173.453061
100_0154_0006.JPG 650418.208127 431552.958381 211.897407 -0.089841 0.872829 173.917300
100_0154_0007.JPG 650415.438006 431528.873557 211.898947 -0.221249 0.904080 173.933986
100_0154_0008.JPG 650412.786902 431505.023989 211.898237 -0.312383 0.917886 173.987582
100_0154_0009.JPG 650409.940700 431480.999420 211.911281 -0.431730 0.957252 174.069028
100_0154_0010.JPG 650407.146295 431457.164575 211.913164 -0.490525 0.991512 174.354683
100_0154_0011.JPG 650404.277900 431433.081274 211.939572 -0.509611 1.020420 174.579415
100_0154_0012.JPG 650401.592784 431409.462299 211.896465 -0.543649 1.034885 174.487217
100_0154_0013.JPG 650398.730001 431385.225845 211.908882 -0.550827 1.023529 174.257081
100_0154_0014.JPG 650395.937045 431361.484333 211.896093 -0.518111 1.079722 174.621627
100_0154_0015.JPG 650393.168800 431337.429407 211.925357 -0.453203 1.069474 174.750887
100_0154_0016.JPG 650390.380108 431313.731085 211.922598 -0.442559 1.044069 174.581535
100_0154_0017.JPG 650387.619157 431289.683556 211.953490 -0.417408 1.057783 174.708494
100_0154_0018.JPG 650384.885783 431265.973271 211.951633 -0.371458 1.059377 174.686903
100_0154_0019.JPG 650382.196656 431241.866121 211.896955 -0.378976 1.052567 174.990479
100_0154_0020.JPG 650379.297649 431217.860345 211.969786 -0.310981 1.044813 174.870314
100_0154_0021.JPG 650376.651779 431194.114422 211.952948 -0.192509 1.029521 174.990433
100_0154_0022.JPG 650373.874143 431170.091589 211.965021 -0.099494 1.020538 174.100999
100_0154_0023.JPG 650370.989467 431146.721700 211.874665 -0.052748 1.042055 174.866736
100_0154_0024.JPG 650368.215681 431122.304232 211.964732 -0.010584 1.067517 175.361757
100_0154_0025.JPG 650365.437664 431098.666071 211.890777 0.046635 1.063795 175.186060
100_0154_0026.JPG 650362.585233 431075.007749 211.818247 0.013158 1.021952 175.223530
100_0154_0027.JPG 650359.824171 431051.204190 211.903092 0.017817 1.027845 175.308126
100_0154_0028.JPG 650356.973988 431027.211685 211.927053 0.054803 0.979561 175.525348
100_0154_0029.JPG 650354.145774 431003.537651 211.865035 0.078234 0.959900 175.715457
100_0154_0030.JPG 650351.331536 430979.456565 211.844160 0.092557 0.954882 176.157868
100_0154_0031.JPG 650348.554619 430955.610209 211.879297 0.164984 0.901374 176.284678
100_0154_0032.JPG 650345.800438 430931.730378 211.909454 0.233068 0.881260 176.307301
100_0154_0033.JPG 650343.008421 430907.677289 211.854680 0.244010 0.865840 176.513259
100_0154_0034.JPG 650340.244196 430883.874196 211.853140 0.310920 0.826158 176.708735
100_0154_0035.JPG 650337.446548 430859.817793 211.801003 0.350066 0.836920 176.753973
100_0154_0036.JPG 650334.645511 430836.042366 211.923244 0.368299 0.814684 177.006394
100_0154_0037.JPG 650331.769686 430812.068940 211.906253 0.340972 0.817594 177.057127
100_0154_0038.JPG 650329.061770 430788.376684 211.905583 0.371984 0.777228 177.500694
100_0154_0039.JPG 650326.176770 430764.536984 211.892681 0.371336 0.768855 177.845333
100_0154_0040.JPG 650323.410507 430740.636585 211.905033 0.383900 0.727846 178.370179
100_0154_0041.JPG 650320.535085 430716.583686 211.877635 0.439163 0.673288 178.251679
100_0154_0042.JPG 650317.924426 430692.704766 211.871839 0.449600 0.650294 178.487334
100_0154_0043.JPG 650315.181741 430668.732927 211.871371 0.474984 0.640665 178.637085
100_0154_0044.JPG 650312.426785 430644.789202 211.973394 0.481412 0.631318 178.762116
100_0154_0045.JPG 650309.385371 430621.140740 211.825897 0.519491 0.609647 178.705932
100_0154_0046.JPG 650306.634677 430597.681940 211.831864 0.589322 0.617930 179.117061
100_0154_0047.JPG 650303.966110 430573.211809 211.919862 0.602116 0.665884 179.429597
100_0154_0048.JPG 650301.286486 430549.317864 211.924300 0.629245 0.702610 179.426924
100_0154_0049.JPG 650298.544191 430525.506116 211.936254 0.695048 0.706783 179.294987
100_0154_0050.JPG 650295.638680 430501.788572 211.863069 0.704142 0.743085 179.501050
100_0154_0051.JPG 650292.716782 430477.718768 211.907751 0.725746 0.774722 178.155237
100_0154_0052.JPG 650290.158860 430457.682359 211.877946 0.806710 0.713166 177.397488
100_0154_0053.JPG 650291.117324 430449.779026 211.835823 0.228471 0.919254 -137.586991
100_0154_0054.JPG 650305.922623 430449.408140 211.757279 -0.382291 0.952357 -99.260670
100_0154_0055.JPG 650324.667074 430445.967288 212.074958 -0.508096 1.161502 -98.355942
100_0154_0056.JPG 650327.330421 430452.353709 211.845257 -0.525554 -0.576236 -18.034608
100_0154_0057.JPG 650329.812360 430472.066892 211.797649 -0.644149 -0.882897 -10.663490
100_0154_0058.JPG 650332.577284 430495.814533 211.902195 -0.792926 -0.873854 -9.899717
100_0154_0059.JPG 650335.325587 430519.546269 211.879021 -0.857497 -0.886551 -9.740981
100_0154_0060.JPG 650338.096538 430543.664584 211.835511 -0.882716 -0.862952 -10.384379
100_0154_0061.JPG 650340.882007 430567.298115 211.890486 -0.880015 -0.865525 -11.112366
100_0154_0062.JPG 650343.683485 430591.495065 211.898599 -0.896392 -0.848192 -11.591284
100_0154_0063.JPG 650346.411156 430615.363104 211.920506 -0.880090 -0.851670 -11.667003
100_0154_0064.JPG 650349.231687 430639.180284 211.924119 -0.905557 -0.866643 -11.935327
100_0154_0065.JPG 650352.092473 430663.220150 211.899057 -0.975409 -0.877488 -12.392026
100_0154_0066.JPG 650354.857590 430687.131077 211.897175 -0.987211 -0.904341 -12.363405
100_0154_0067.JPG 650357.545795 430710.876882 211.816800 -0.985260 -0.955818 -9.825269
100_0154_0068.JPG 650360.359382 430734.768589 211.850521 -1.044373 -0.960287 -8.624689
100_0154_0069.JPG 650363.214443 430758.854062 211.905510 -1.020281 -0.926786 -8.730514
100_0154_0070.JPG 650365.973975 430782.609277 211.901896 -1.002912 -0.925324 -8.645547
100_0154_0071.JPG 650368.722688 430806.489908 211.866774 -1.040533 -0.929748 -8.735533
100_0154_0072.JPG 650371.556895 430830.547762 211.871870 -1.083386 -0.935910 -8.595817
100_0154_0073.JPG 650374.377188 430854.226195 211.875204 -1.085307 -0.883924 -8.495894
100_0154_0074.JPG 650377.230182 430878.229072 211.874272 -1.123686 -0.835245 -8.416935
100_0154_0075.JPG 650379.993744 430902.028084 211.883117 -1.105918 -0.780019 -8.048610
100_0154_0076.JPG 650382.799050 430926.084415 211.900320 -1.116511 -0.753638 -7.687557
100_0154_0077.JPG 650385.535620 430949.727427 211.914468 -1.110213 -0.717045 -7.261287
100_0154_0078.JPG 650388.352963 430973.863335 211.914869 -1.104235 -0.749399 -7.089605
100_0154_0079.JPG 650391.120779 430997.638164 211.881553 -1.101509 -0.725973 -6.764778
100_0154_0080.JPG 650393.877283 431021.685895 211.882521 -1.103282 -0.769383 -6.195113
100_0154_0081.JPG 650396.690269 431045.444920 211.882744 -1.065294 -0.750615 -5.684547
100_0154_0082.JPG 650399.490052 431069.341815 211.900662 -1.044041 -0.758274 -5.509924
100_0154_0083.JPG 650402.317670 431093.223925 211.892902 -1.030622 -0.774199 -4.788043
100_0154_0084.JPG 650405.098160 431117.052274 211.904416 -1.038515 -0.773713 -4.640489
100_0154_0085.JPG 650407.906909 431141.144428 211.912473 -1.067239 -0.730850 -3.906511
100_0154_0086.JPG 650410.622011 431164.749583 211.902967 -1.040113 -0.779262 -3.618890
100_0154_0087.JPG 650413.446656 431188.883200 211.939554 -0.990705 -0.762715 -3.048038
100_0154_0088.JPG 650416.199996 431212.640695 211.934813 -0.994756 -0.739986 -2.402655
100_0154_0089.JPG 650419.052371 431236.688833 211.936149 -0.974895 -0.725834 -2.108406
100_0154_0090.JPG 650421.845906 431260.527090 211.934962 -0.970045 -0.715350 -1.621275
100_0154_0091.JPG 650424.682840 431284.390957 211.924000 -1.025968 -0.682153 -3.781246
100_0154_0092.JPG 650427.386387 431308.317810 211.899705 -1.029529 -0.634785 -5.201748
100_0154_0093.JPG 650430.085485 431332.201579 211.862427 -1.005391 -0.625748 -4.859059
100_0154_0094.JPG 650432.897342 431356.045753 211.940297 -1.052543 -0.581776 -4.425427
100_0154_0095.JPG 650435.655892 431379.852719 211.914219 -1.064623 -0.599874 -3.723211
100_0154_0096.JPG 650438.443318 431403.671466 211.892795 -1.043639 -0.618929 -3.749742
100_0154_0097.JPG 650441.086833 431427.548690 211.859330 -1.060719 -0.640537 -3.521634
100_0154_0098.JPG 650443.941054 431451.814401 211.886885 -1.046354 -0.704592 -2.898173
100_0154_0099.JPG 650446.774530 431475.567521 211.913318 -0.994907 -0.771753 -2.278469
100_0154_0100.JPG 650449.638950 431499.546104 211.880946 -0.958338 -0.789316 -1.914190
100_0154_0101.JPG 650452.437544 431523.228954 211.872968 -0.966944 -0.806466 -1.743349
100_0154_0102.JPG 650455.241463 431547.326471 211.902713 -0.952201 -0.814247 -1.219505
100_0154_0103.JPG 650458.067111 431571.194479 211.934719 -0.943483 -0.844005 -0.899153
100_0154_0104.JPG 650460.897939 431594.989184 211.969476 -0.937282 -0.848025 -0.601450
100_0154_0105.JPG 650463.618301 431618.690088 211.939065 -0.934779 -0.865012 -0.274411
100_0154_0106.JPG 650466.259715 431637.230916 211.944807 -0.933543 -0.855483 1.575295
100_0154_0107.JPG 650472.038002 431637.187403 211.881529 -1.020186 0.008745 -84.275111
100_0154_0108.JPG 650491.115057 431636.170839 211.987777 -0.879910 0.430439 -92.479007
100_0154_0109.JPG 650503.176463 431632.508170 212.029390 -0.618916 0.799779 -104.694373
100_0154_0110.JPG 650501.620203 431620.727439 211.778400 0.380805 0.577036 -178.841306
100_0154_0111.JPG 650498.638089 431601.268516 211.824570 0.615094 0.450758 176.601388
100_0154_0112.JPG 650496.432637 431577.063258 211.860261 0.820711 0.431580 176.001513
100_0154_0113.JPG 650493.710604 431553.199165 211.870913 0.985999 0.360964 174.367537
100_0154_0114.JPG 650490.902690 431529.021769 211.888862 1.023490 0.318068 174.298819
100_0154_0115.JPG 650488.161090 431505.208054 211.857131 1.095819 0.369609 173.552580
100_0154_0116.JPG 650485.338535 431481.498533 211.860305 1.125805 0.367590 173.246878
100_0154_0117.JPG 650482.501298 431457.543409 211.918638 1.165785 0.327467 173.081046
100_0154_0118.JPG 650479.720339 431433.662728 211.919515 1.200578 0.303052 172.473491
100_0154_0119.JPG 650476.860142 431409.769330 211.919099 1.222914 0.312500 172.554703
100_0154_0120.JPG 650474.065306 431385.671337 211.922248 1.271617 0.292975 172.325452
100_0154_0121.JPG 650471.334890 431361.907054 211.923210 1.259541 0.252533 172.098085
100_0154_0122.JPG 650468.592794 431337.845166 211.944484 1.259871 0.230073 171.765631
100_0154_0123.JPG 650465.733363 431313.938423 211.920772 1.277868 0.186583 171.265709
100_0154_0124.JPG 650462.992015 431290.074275 211.933662 1.263683 0.159242 171.380841
100_0154_0125.JPG 650460.217782 431266.078039 211.919812 1.269244 0.122646 170.891801
100_0154_0126.JPG 650457.348353 431242.412069 211.870642 1.251516 0.122166 170.270395
100_0154_0127.JPG 650454.582540 431218.772829 211.864701 1.218013 0.152082 170.841201
100_0154_0128.JPG 650451.776376 431194.649446 211.937516 1.124399 0.174502 170.431187
100_0154_0129.JPG 650449.157552 431170.670003 211.901047 1.081012 0.213654 170.643859
100_0154_0130.JPG 650446.547796 431146.818120 211.977695 1.082497 0.193619 169.668309
100_0154_0131.JPG 650443.786865 431122.761319 211.966279 1.110658 0.229535 169.551314
100_0154_0132.JPG 650440.818645 431098.604259 211.957524 1.118017 0.232923 169.520168
100_0154_0133.JPG 650437.914046 431074.951096 211.903746 1.087464 0.274134 170.057194
100_0154_0134.JPG 650435.014012 431051.361371 211.905340 1.084900 0.307927 170.426512
100_0154_0135.JPG 650432.222342 431027.517799 211.842536 1.074365 0.329052 170.099506
100_0154_0136.JPG 650429.466384 431003.724923 211.880468 1.064812 0.349664 170.575993
