GCP label, GCP measured X, GCP measured Y, GCP measured Z, GCP estimated X, GCP estimated Y, GCP estimated Z, GCP weight, GCP visible in # images
3, 650798.78762531117536127567, 435560.04833887977292761207, 104.91299999999999670308, 650798.78762531117536127567, 435560.04833887977292761207, 104.91299999999999670308, 0.99999984250392559559, 0
2, 650582.31843483704142272472, 436111.19477249117335304618, 103.20500000000001250555, 650582.31843483704142272472, 436111.19477249117335304618, 103.20500000000001250555, 0.99999984250392559559, 0
1, 650338.75646828487515449524, 436710.02252212999155744910, 103.15999999999999658939, 650338.75646828487515449524, 436710.02252212999155744910, 103.15999999999999658939, 0.99999984250392559559, 0
7, 650609.34323507570661604404, 432940.48250735551118850708, 111.48699999999999477041, 650609.34120442089624702930, 432940.47976705234032124281, 111.48266965539110628924, 0.99999983855644469788, 11
16, 650364.66270564112346619368, 430762.65197168849408626556, 115.05699999999998794920, 650364.66270564112346619368, 430762.65197168849408626556, 115.05699999999998794920, 0.99999984250392559559, 0
6, 650619.12803035276010632515, 432952.09716371539980173111, 110.51100000000000989075, 650619.12803035276010632515, 432952.09716371539980173111, 110.51100000000000989075, 0.99999984250392559559, 0
5, 650740.05463927937671542168, 433987.45410412462661042809, 109.68199999999998794920, 650740.05463927937671542168, 433987.45410412462661042809, 109.68199999999998794920, 0.99999984250392559559, 0
4, 650808.60450204228982329369, 435570.16192656761268153787, 105.31399999999999295142, 650808.60450204228982329369, 435570.16192656761268153787, 105.31399999999999295142, 0.99999984250392559559, 0
11, 650440.58833150088321417570, 431412.41803813260048627853, 113.12199999999998567546, 650440.58833150088321417570, 431412.41803813260048627853, 113.12199999999998567546, 0.99999984250392559559, 0
10, 650436.61814977729227393866, 431421.10143901972332969308, 113.16599999999999681677, 650436.61814977729227393866, 431421.10143901972332969308, 113.16599999999999681677, 0.99999984250392559559, 0
9, 650486.62781373306643217802, 431892.91314662428339943290, 111.27899999999999636202, 650486.62781373306643217802, 431892.91314662428339943290, 111.27899999999999636202, 0.99999984250392559559, 0
8, 650495.97267586505040526390, 431886.14416866278043016791, 112.21500000000000341061, 650495.97267586505040526390, 431886.14416866278043016791, 112.21500000000000341061, 0.99999984250392559559, 0
15, 650146.15299941878765821457, 426390.18365813419222831726, 128.27299999999999613465, 650146.15299941878765821457, 426390.18365813419222831726, 128.27299999999999613465, 0.99999984250392559559, 0
