100_0154_0001.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0228164, -0.00901186, -0.463647, 0.265421, -0.21009, -0.0427123, -0.0942378, 0.0438442, -0.141712, 0.683925, 0.0794077, 0.0583403, 0.000106248
0.0228164, 1, 0.0252601, 0.0285077, -0.0331333, 0.0291711, 0.0145488, 0.384589, -0.130834, -0.0233503, 0.0398697, 0.0593347, 0.460685, 0.029097
-0.00901186, 0.0252601, 1, 0.00806758, -0.00802087, 0.00746299, 0.377704, 0.0155218, -0.0158352, 0.018948, -0.0084269, 0.416693, -0.00146468, -0.0322255
-0.463647, 0.0285077, 0.00806758, 1, -0.950119, 0.888769, 0.00675657, 0.0940389, -0.0278996, 0.0370733, -0.217813, 0.00162011, -0.0114612, 0.0295196
0.265421, -0.0331333, -0.00802087, -0.950119, 1, -0.982934, 0.00041055, -0.0735699, 0.0247719, -0.00776109, 0.0760026, -0.0197999, 0.000482278, -0.0310486
-0.21009, 0.0291711, 0.00746299, 0.888769, -0.982934, 1, -0.00199222, 0.0635259, -0.0213945, 0.0029475, -0.0434275, 0.0208001, 0.00154622, 0.029482
-0.0427123, 0.0145488, 0.377704, 0.00675657, 0.00041055, -0.00199222, 1, -0.00656228, 0.00596834, -0.0423448, -0.0350755, 0.198652, 0.0135062, -0.0109993
-0.0942378, 0.384589, 0.0155218, 0.0940389, -0.0735699, 0.0635259, -0.00656228, 1, 0.0195532, 0.0386052, -0.0573536, -0.0103404, 0.244143, 0.015911
0.0438442, -0.130834, -0.0158352, -0.0278996, 0.0247719, -0.0213945, 0.00596834, 0.0195532, 1, 0.0285672, 0.0669647, -0.15546, 0.662675, -0.0296216
-0.141712, -0.0233503, 0.018948, 0.0370733, -0.00776109, 0.0029475, -0.0423448, 0.0386052, 0.0285672, 1, -0.114444, -0.648563, -0.117611, 0.0240175
0.683925, 0.0398697, -0.0084269, -0.217813, 0.0760026, -0.0434275, -0.0350755, -0.0573536, 0.0669647, -0.114444, 1, 0.075341, 0.336597, 0.0337267
0.0794077, 0.0593347, 0.416693, 0.00162011, -0.0197999, 0.0208001, 0.198652, -0.0103404, -0.15546, -0.648563, 0.075341, 1, 0.0266041, 0.517855
0.0583403, 0.460685, -0.00146468, -0.0114612, 0.000482278, 0.00154622, 0.0135062, 0.244143, 0.662675, -0.117611, 0.336597, 0.0266041, 1, 0.0438581
0.000106248, 0.029097, -0.0322255, 0.0295196, -0.0310486, 0.029482, -0.0109993, 0.015911, -0.0296216, 0.0240175, 0.0337267, 0.517855, 0.0438581, 1
100_0154_0002.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0228164, -0.00901186, -0.463647, 0.265421, -0.21009, -0.0427123, -0.0942378, 0.0444018, -0.141582, 0.69187, 0.0847936, 0.0544133, -0.000488588
0.0228164, 1, 0.0252601, 0.0285077, -0.0331333, 0.0291711, 0.0145488, 0.384589, -0.131026, -0.0233841, 0.0408232, 0.0546948, 0.460777, 0.0270634
-0.00901186, 0.0252601, 1, 0.00806758, -0.00802087, 0.00746299, 0.377704, 0.0155218, -0.0157655, 0.0191522, -0.00851491, 0.422313, -0.000732007, -0.0351746
-0.463647, 0.0285077, 0.00806758, 1, -0.950119, 0.888769, 0.00675657, 0.0940389, -0.0287619, 0.0361188, -0.217806, 0.000294125, -0.00754298, 0.0300952
0.265421, -0.0331333, -0.00802087, -0.950119, 1, -0.982934, 0.00041055, -0.0735699, 0.0253259, -0.00668593, 0.0742254, -0.0190059, -0.00299181, -0.0311443
-0.21009, 0.0291711, 0.00746299, 0.888769, -0.982934, 1, -0.00199222, 0.0635259, -0.0216928, 0.00174393, -0.0414716, 0.020256, 0.00491987, 0.0295004
-0.0427123, 0.0145488, 0.377704, 0.00675657, 0.00041055, -0.00199222, 1, -0.00656228, 0.00605718, -0.0430623, -0.0352682, 0.201171, 0.0114996, -0.0150642
-0.0942378, 0.384589, 0.0155218, 0.0940389, -0.0735699, 0.0635259, -0.00656228, 1, 0.0194032, 0.038652, -0.0581936, -0.0125392, 0.245294, 0.0130868
0.0444018, -0.131026, -0.0157655, -0.0287619, 0.0253259, -0.0216928, 0.00605718, 0.0194032, 1, 0.0265189, 0.0723812, -0.123296, 0.665185, -0.0350704
-0.141582, -0.0233841, 0.0191522, 0.0361188, -0.00668593, 0.00174393, -0.0430623, 0.038652, 0.0265189, 1, -0.118215, -0.657773, -0.100048, 0.0287443
0.69187, 0.0408232, -0.00851491, -0.217806, 0.0742254, -0.0414716, -0.0352682, -0.0581936, 0.0723812, -0.118215, 1, 0.0556655, 0.328098, 0.021102
0.0847936, 0.0546948, 0.422313, 0.000294125, -0.0190059, 0.020256, 0.201171, -0.0125392, -0.123296, -0.657773, 0.0556655, 1, 0.0549945, 0.499352
0.0544133, 0.460777, -0.000732007, -0.00754298, -0.00299181, 0.00491987, 0.0114996, 0.245294, 0.665185, -0.100048, 0.328098, 0.0549945, 1, 0.0926418
-0.000488588, 0.0270634, -0.0351746, 0.0300952, -0.0311443, 0.0295004, -0.0150642, 0.0130868, -0.0350704, 0.0287443, 0.021102, 0.499352, 0.0926418, 1
100_0154_0003.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0228164, -0.00901186, -0.463647, 0.265421, -0.21009, -0.0427123, -0.0942378, 0.0452069, -0.141282, 0.685298, 0.0829193, 0.0552643, -0.00194877
0.0228164, 1, 0.0252601, 0.0285077, -0.0331333, 0.0291711, 0.0145488, 0.384589, -0.131261, -0.0238013, 0.0398835, 0.0473244, 0.450104, 0.0127606
-0.00901186, 0.0252601, 1, 0.00806758, -0.00802087, 0.00746299, 0.377704, 0.0155218, -0.015874, 0.0187484, -0.00950446, 0.426865, -0.00196967, -0.0397328
-0.463647, 0.0285077, 0.00806758, 1, -0.950119, 0.888769, 0.00675657, 0.0940389, -0.0315528, 0.0330974, -0.210943, 0.00102918, -0.00653055, 0.0254972
0.265421, -0.0331333, -0.00802087, -0.950119, 1, -0.982934, 0.00041055, -0.0735699, 0.0275805, -0.00396149, 0.0696386, -0.0175033, -0.00457364, -0.0253055
-0.21009, 0.0291711, 0.00746299, 0.888769, -0.982934, 1, -0.00199222, 0.0635259, -0.0234693, -0.000591468, -0.0380867, 0.018032, 0.00666163, 0.0236088
-0.0427123, 0.0145488, 0.377704, 0.00675657, 0.00041055, -0.00199222, 1, -0.00656228, 0.00528498, -0.0449048, -0.0319124, 0.204579, 0.00643835, -0.0236167
-0.0942378, 0.384589, 0.0155218, 0.0940389, -0.0735699, 0.0635259, -0.00656228, 1, 0.0197112, 0.0386787, -0.0591585, -0.0186365, 0.237458, 0.00203153
0.0452069, -0.131261, -0.015874, -0.0315528, 0.0275805, -0.0234693, 0.00528498, 0.0197112, 1, 0.0244007, 0.0800722, -0.102909, 0.624424, -0.050982
-0.141282, -0.0238013, 0.0187484, 0.0330974, -0.00396149, -0.000591468, -0.0449048, 0.0386787, 0.0244007, 1, -0.111723, -0.643836, -0.117211, 0.0360908
0.685298, 0.0398835, -0.00950446, -0.210943, 0.0696386, -0.0380867, -0.0319124, -0.0591585, 0.0800722, -0.111723, 1, -0.0300352, 0.326841, 0.0152145
0.0829193, 0.0473244, 0.426865, 0.00102918, -0.0175033, 0.018032, 0.204579, -0.0186365, -0.102909, -0.643836, -0.0300352, 1, 0.146886, 0.488779
0.0552643, 0.450104, -0.00196967, -0.00653055, -0.00457364, 0.00666163, 0.00643835, 0.237458, 0.624424, -0.117211, 0.326841, 0.146886, 1, 0.271808
-0.00194877, 0.0127606, -0.0397328, 0.0254972, -0.0253055, 0.0236088, -0.0236167, 0.00203153, -0.050982, 0.0360908, 0.0152145, 0.488779, 0.271808, 1
100_0154_0004.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0228164, -0.00901186, -0.463647, 0.265421, -0.21009, -0.0427123, -0.0942378, 0.0437174, -0.140221, 0.692099, 0.0736965, 0.0558131, -0.00347738
0.0228164, 1, 0.0252601, 0.0285077, -0.0331333, 0.0291711, 0.0145488, 0.384589, -0.130443, -0.0231241, 0.038218, 0.0344998, 0.416105, -0.0151573
-0.00901186, 0.0252601, 1, 0.00806758, -0.00802087, 0.00746299, 0.377704, 0.0155218, -0.0158996, 0.0185835, -0.0130347, 0.441653, -0.00538226, -0.0449079
-0.463647, 0.0285077, 0.00806758, 1, -0.950119, 0.888769, 0.00675657, 0.0940389, -0.0249313, 0.0366964, -0.218692, 0.00359871, -0.0104263, 0.013688
0.265421, -0.0331333, -0.00802087, -0.950119, 1, -0.982934, 0.00041055, -0.0735699, 0.0191429, -0.0100237, 0.0799357, -0.0134815, -0.00259542, -0.0125241
-0.21009, 0.0291711, 0.00746299, 0.888769, -0.982934, 1, -0.00199222, 0.0635259, -0.0145976, 0.00631855, -0.0494892, 0.0115474, 0.00586726, 0.0112813
-0.0427123, 0.0145488, 0.377704, 0.00675657, 0.00041055, -0.00199222, 1, -0.00656228, 0.00165776, -0.0482176, -0.0264085, 0.223636, -0.00342198, -0.0307208
-0.0942378, 0.384589, 0.0155218, 0.0940389, -0.0735699, 0.0635259, -0.00656228, 1, 0.020691, 0.0397739, -0.0605903, -0.0299588, 0.215991, -0.0223071
0.0437174, -0.130443, -0.0158996, -0.0249313, 0.0191429, -0.0145976, 0.00165776, 0.020691, 1, 0.0159543, 0.0929437, -0.074595, 0.555097, -0.0740318
-0.140221, -0.0231241, 0.0185835, 0.0366964, -0.0100237, 0.00631855, -0.0482176, 0.0397739, 0.0159543, 1, -0.0896683, -0.613126, -0.137821, 0.0406692
0.692099, 0.038218, -0.0130347, -0.218692, 0.0799357, -0.0494892, -0.0264085, -0.0605903, 0.0929437, -0.0896683, 1, -0.159843, 0.281578, 0.00313042
0.0736965, 0.0344998, 0.441653, 0.00359871, -0.0134815, 0.0115474, 0.223636, -0.0299588, -0.074595, -0.613126, -0.159843, 1, 0.227285, 0.442393
0.0558131, 0.416105, -0.00538226, -0.0104263, -0.00259542, 0.00586726, -0.00342198, 0.215991, 0.555097, -0.137821, 0.281578, 0.227285, 1, 0.456218
-0.00347738, -0.0151573, -0.0449079, 0.013688, -0.0125241, 0.0112813, -0.0307208, -0.0223071, -0.0740318, 0.0406692, 0.00313042, 0.442393, 0.456218, 1
100_0154_0005.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0228164, -0.00901186, -0.463647, 0.265421, -0.21009, -0.0427123, -0.0942378, 0.0436317, -0.139923, 0.654074, 0.0485776, 0.0484601, -0.008565
0.0228164, 1, 0.0252601, 0.0285077, -0.0331333, 0.0291711, 0.0145488, 0.384589, -0.129738, -0.02324, 0.0330653, 0.0158526, 0.369361, -0.000444553
-0.00901186, 0.0252601, 1, 0.00806758, -0.00802087, 0.00746299, 0.377704, 0.0155218, -0.0147282, 0.0195104, -0.0147328, 0.392077, -0.00945377, -0.0191184
-0.463647, 0.0285077, 0.00806758, 1, -0.950119, 0.888769, 0.00675657, 0.0940389, -0.0254808, 0.0368198, -0.213227, 2.57401e-05, -0.00332222, 0.00526722
0.265421, -0.0331333, -0.00802087, -0.950119, 1, -0.982934, 0.00041055, -0.0735699, 0.021755, -0.00783422, 0.0790181, -0.00848716, -0.00728794, -0.00485783
-0.21009, 0.0291711, 0.00746299, 0.888769, -0.982934, 1, -0.00199222, 0.0635259, -0.0182525, 0.00295123, -0.0483175, 0.0076008, 0.00919216, 0.00439793
-0.0427123, 0.0145488, 0.377704, 0.00675657, 0.00041055, -0.00199222, 1, -0.00656228, 0.00731201, -0.0424237, -0.0357446, 0.193516, -0.00303476, -0.0165232
-0.0942378, 0.384589, 0.0155218, 0.0940389, -0.0735699, 0.0635259, -0.00656228, 1, 0.018522, 0.0386067, -0.0548791, -0.0247058, 0.189645, -0.0103303
0.0436317, -0.129738, -0.0147282, -0.0254808, 0.021755, -0.0182525, 0.00731201, 0.018522, 1, 0.026507, 0.0563002, -0.0925618, 0.474514, -0.0470259
-0.139923, -0.02324, 0.0195104, 0.0368198, -0.00783422, 0.00295123, -0.0424237, 0.0386067, 0.026507, 1, -0.10176, -0.518809, -0.0958953, 0.0222706
0.654074, 0.0330653, -0.0147328, -0.213227, 0.0790181, -0.0483175, -0.0357446, -0.0548791, 0.0563002, -0.10176, 1, -0.0382894, 0.152319, -0.0252573
0.0485776, 0.0158526, 0.392077, 2.57401e-05, -0.00848716, 0.0076008, 0.193516, -0.0247058, -0.0925618, -0.518809, -0.0382894, 1, 0.0738296, 0.303922
