x,y,z,sx,sy,sz
650625.71,432348.10,132.30,0.1214,0.0403,0.2346
650654.33,432361.57,129.95,0.1627,0.0447,0.1921
650587.92,432366.57,127.01,0.0265,0.0418,0.1548
650559.35,432920.75,109.21,0.1518,0.0879,0.3574
650583.83,432958.21,127.89,0.1570,0.1935,0.6014
650789.75,434765.61,129.06,0.1076,0.0775,0.2936
650722.82,434767.69,125.14,0.1607,0.0371,0.1871
650758.24,434801.86,123.44,0.1041,0.1029,0.2358
650735.41,434789.61,125.33,0.1501,0.0699,0.2104
650863.59,434780.92,122.85,0.2556,0.0773,0.3112
650652.90,432585.45,126.76,0.2392,0.0973,0.2776
650698.11,432880.31,125.38,0.3292,0.2297,0.5045
650699.68,432877.20,124.93,0.4799,0.2019,0.7372
650679.20,432891.24,122.79,0.4927,0.5309,1.2327
650682.76,432880.63,125.88,0.2356,0.1680,0.5148
650512.87,432465.96,125.24,0.2657,0.1442,0.4798
650525.53,432431.00,120.45,0.3706,0.1672,0.9441
650517.91,432444.15,124.06,0.0837,0.0276,0.1672
650604.73,432449.98,125.16,0.1454,0.0443,0.2735
650509.97,432429.05,125.94,0.4222,0.1420,0.7183
650682.74,432902.37,125.28,0.2385,0.3017,0.5272
650704.04,432901.75,125.55,0.3975,0.3172,0.5620
650534.94,432639.71,122.99,0.1061,0.0674,0.2033
650510.65,432600.47,123.36,0.4364,0.1157,0.5558
650506.94,432590.35,123.36,0.2870,0.1027,0.3478
650638.65,432601.12,125.96,0.1424,0.0440,0.2052
650542.19,432628.20,124.20,0.1929,0.0927,0.4309
650499.12,432410.17,126.42,0.2558,0.1375,0.3585
650624.16,432466.05,127.18,0.3390,0.1353,0.4441
650545.81,432592.31,122.94,0.1304,0.0495,0.2460
650645.98,432577.77,125.77,0.0922,0.0519,0.1409
650631.50,432612.51,125.44,0.0675,0.0519,0.1819
650563.40,432644.79,109.94,0.0291,0.0252,0.0568
650614.15,432637.35,109.79,0.0202,0.0182,0.0348
650540.70,432625.30,124.58,0.1343,0.0615,0.2659
650651.78,432622.62,126.81,0.0885,0.0277,0.1041
650639.47,432648.68,125.37,0.1280,0.0613,0.1857
650561.08,432635.90,109.63,0.0278,0.0228,0.0528
650643.03,432631.90,124.71,0.0922,0.0516,0.1720
650509.83,432617.18,124.59,0.3014,0.1097,0.4745
650639.65,432643.15,125.52,0.1955,0.0797,0.2834
650551.57,432621.13,109.61,0.0609,0.0464,0.1504
650631.56,432626.52,125.33,0.0877,0.0350,0.1428
650640.88,432641.43,125.09,0.1922,0.0743,0.2746
650547.23,432633.24,120.17,0.1269,0.0744,0.3064
650553.31,432918.97,109.77,0.0622,0.1496,0.2130
650561.92,432886.21,127.95,0.0267,0.0585,0.1286
650488.94,432454.85,123.06,0.3993,0.1010,0.4993
650551.32,432874.55,108.96,0.0673,0.0729,0.3029
650655.35,432355.23,131.09,0.3736,0.0751,0.4366
650536.96,432883.92,118.11,0.4450,0.4149,1.1613
650589.62,432375.61,128.36,0.0626,0.1603,0.4274
650520.58,432834.27,125.06,0.1295,0.0563,0.2156
650532.32,432855.37,126.59,0.1062,0.0352,0.2232
650500.07,432832.53,125.35,0.4062,0.1361,0.4847
650635.77,432363.04,130.87,0.1087,0.0430,0.1708
650622.21,432624.96,109.46,0.0287,0.0233,0.0499
650628.03,432348.88,132.25,0.2423,0.0708,0.4511
650834.44,434714.12,106.80,0.2597,0.3157,0.6257
650726.64,434785.15,126.35,0.2900,0.1026,0.3559
650607.16,432374.12,133.13,0.1695,0.1951,0.5713
650635.22,432305.52,128.23,0.1236,0.1053,0.2016
650650.11,432338.32,129.64,0.3839,0.0960,0.4919
650572.68,432332.37,127.58,0.1628,0.1751,0.7600
650638.80,432330.22,131.52,0.1629,0.0701,0.2433
650789.44,434740.28,130.11,0.0504,0.1053,0.3140
650616.09,432375.37,130.91,0.0993,0.0897,0.2510
650578.31,432306.44,125.19,0.0317,0.0807,0.2021
650546.18,432782.90,125.55,0.1987,0.3065,0.5036
650569.67,432475.79,110.01,0.0302,0.0297,0.0722
650564.60,432792.64,126.17,0.2607,0.6566,1.3189
650532.78,432796.91,123.79,0.3702,0.2963,0.6827
650550.68,432764.75,126.57,0.1053,0.2546,0.3058
650578.93,432904.90,127.96,0.0294,0.2502,0.2826
650670.31,433130.94,119.51,0.3305,3.1742,1.3943
650556.48,432873.68,109.23,0.0760,0.1284,0.3109
650721.01,433081.27,118.86,0.3562,0.7630,0.4534
650761.80,433029.42,119.06,0.6789,0.6128,0.5520
650695.45,433024.75,128.59,0.3702,0.7657,0.6484
650701.69,433192.07,118.17,1.5306,7.8561,2.6963
650498.40,433236.42,112.42,2.6169,5.2792,1.6702
650523.79,432774.92,116.07,0.6299,0.6741,1.0687
650560.20,432776.67,123.14,0.1757,0.5081,0.7660
650607.91,433126.41,130.31,0.3505,1.5620,0.6374
650534.80,432826.67,124.33,0.3045,0.1020,0.7389
650495.18,432430.67,125.74,0.3454,0.0920,0.4573
650544.89,432612.42,124.27,0.1891,0.0738,0.2796
650728.22,433069.24,118.55,0.6883,1.2420,0.7991
650542.22,433081.93,114.44,0.8878,1.2566,0.7793
650667.82,433031.16,122.21,0.0668,0.3268,0.2783
650623.34,432653.39,109.51,0.0326,0.0255,0.0549
650756.44,434754.07,127.96,0.2277,0.0943,0.4804
650722.04,434748.31,125.73,0.8649,0.2484,1.0081
650686.29,432670.62,126.79,0.3930,0.1897,0.5070
650542.53,432637.21,124.55,0.0327,0.0283,0.0651
650738.79,434755.91,127.01,0.1184,0.0349,0.1729
650737.94,434808.35,126.55,0.2392,0.1900,0.3502
650686.46,432660.01,125.55,0.2410,0.0752,0.3150
650709.55,432891.48,126.40,0.7411,0.4212,0.9488
650523.76,432883.83,118.06,0.3831,0.4022,0.7937
650507.83,432874.31,116.45,0.5979,0.3729,0.9314
650511.61,432888.71,118.05,1.1954,1.0908,1.9494
650661.11,432876.73,101.05,4.5057,1.9322,5.3111
650506.19,432891.32,119.45,0.9687,0.8535,1.4236
650557.51,432860.01,126.04,0.0778,0.1586,0.5813
650734.43,434745.49,128.38,0.5037,0.1964,0.6828
650776.40,434789.41,128.16,0.2080,0.2707,0.8236
650508.47,432847.13,125.08,0.3968,0.0679,0.5632
650573.16,432863.93,128.57,0.0943,0.3433,0.8787
650769.17,434749.57,128.99,0.1810,0.1242,0.5455
650738.07,434770.70,127.12,0.4019,0.0953,0.5866
650668.09,432661.82,125.38,0.1571,0.0746,0.2801
650555.56,432688.07,112.77,0.1942,0.1403,0.2927
650670.93,432614.23,127.22,0.1541,0.0863,0.2530
650697.13,432897.76,126.20,0.4559,0.3802,0.7224
650591.53,433020.23,129.38,0.3842,0.5777,0.5136
650503.05,433271.60,112.51,1.9457,4.4991,1.2781
650549.46,432918.15,109.90,0.0651,0.0634,0.1472
650542.15,432915.25,117.22,0.0935,0.0742,0.1737
650587.60,432894.04,110.04,0.0313,0.0430,0.1052
650605.25,433025.77,110.21,0.0257,0.0231,0.0594
650528.28,432882.61,119.88,0.3680,0.1099,0.7170
650566.15,432860.69,128.14,0.0674,0.1030,0.3984
650567.91,432872.34,109.56,0.0256,0.0262,0.1867
650500.16,432869.10,116.08,0.4757,0.1052,0.6018
650523.84,432852.19,124.06,0.2817,0.1549,0.4791
650564.35,432892.03,127.36,0.1271,0.1586,0.7073
650508.76,432918.36,117.35,0.1970,0.1275,0.2785
650519.71,432899.46,116.10,0.2106,0.0966,0.3609
650548.07,432870.76,109.69,0.0797,0.0392,0.2876
650647.60,432913.50,110.03,0.3508,0.1774,0.4631
650589.08,432669.57,111.76,0.0393,0.0346,0.0818
650570.84,432680.06,109.70,0.0182,0.0176,0.0332
650519.99,432674.76,123.62,0.0401,0.0307,0.0892
650537.89,432678.36,122.66,0.0418,0.0420,0.1325
650571.73,432679.80,109.69,0.0215,0.0200,0.0403
650562.88,432678.29,109.71,0.0226,0.0214,0.0447
650560.63,432665.13,109.61,0.0334,0.0327,0.1101
650539.46,432848.66,124.36,0.0741,0.0529,0.1626
650583.81,432864.00,109.31,0.0259,0.0258,0.0973
650511.65,432664.19,124.12,0.0770,0.0505,0.1517
650532.82,432668.73,124.94,0.0544,0.0826,0.2650
650551.71,432872.58,109.58,0.0494,0.0255,0.1250
650479.84,432671.62,122.59,0.1390,0.0544,0.1747
650539.35,432897.77,117.40,0.1533,0.0956,0.3073
650646.68,432840.59,109.90,0.1587,0.0561,0.2033
650544.97,432634.27,123.34,0.1028,0.0363,0.1464
650805.15,434815.25,122.08,0.3709,0.2791,0.7124
650542.25,432932.03,117.06,0.1565,0.1509,0.4100
650543.40,432893.55,117.86,0.1531,0.0644,0.4077
650646.34,432934.77,109.54,0.2822,0.1386,0.3955
650696.47,435755.70,102.25,0.2020,0.3948,0.3056
650575.11,432891.47,129.23,0.0835,0.1062,0.5534
650566.77,432892.83,128.03,0.0684,0.0684,0.3694
650559.27,432931.32,112.57,0.1757,0.2687,0.8401
650503.96,432941.17,118.10,0.2110,0.1175,0.2653
650572.46,432907.01,128.35,0.1206,0.1275,0.7754
650519.87,432944.96,117.41,0.1807,0.1507,0.2933
650662.53,434267.48,108.00,0.5017,0.3178,0.6449
650578.42,432876.05,124.99,0.0226,0.0508,0.1535
650495.46,432687.69,123.09,0.3109,0.2856,0.5428
650549.09,432895.14,109.75,0.0632,0.0297,0.2146
650510.75,433191.11,112.30,1.0455,1.9826,0.7279
650475.50,432622.42,124.15,0.1793,0.0599,0.2224
650576.01,432281.70,128.24,0.0351,0.0389,0.2128
650621.95,432293.21,129.71,0.2766,0.1307,0.5045
650639.46,432658.81,126.19,0.1065,0.0732,0.2141
650545.36,432633.45,123.21,0.0782,0.0955,0.5607
650547.49,432676.79,122.22,0.0582,0.0337,0.1001
650516.33,432639.16,122.39,0.0850,0.0393,0.2371
